time_ns,max_queue_bytes,max_total_buffer_bytes
2002607000,96,96
2002608000,72,72
2002609000,72,72
2002612000,96,96
2002616000,560,560
2002617000,144,144
2002618000,1048,1048
2002619000,1048,1048
2002620000,1048,1048
2002621000,1048,1048
2002622000,1048,1048
2002623000,240,240
2002628000,1120,1120
2002629000,1048,1120
2002630000,1048,1048
2002635000,72,72
2002636000,1048,1048
2002637000,2096,2096
2002638000,2096,3144
2002639000,3944,4992
2002640000,2088,2088
2002643000,2192,2192
2002644000,5240,5240
2002645000,7576,7576
2002646000,4432,5480
2002647000,2336,4672
2002648000,1048,1144
2002649000,1192,1192
2002650000,1048,1048
2002651000,4336,4336
2002652000,4192,4752
2002653000,4192,4192
2002654000,2528,2528
2002655000,2096,2096
2002656000,1048,1192
2002657000,3432,3432
2002658000,1192,1288
2002661000,2192,2192
2002662000,2096,2096
2002663000,240,240
2002666000,1144,1144
2002672000,1120,1264
2002673000,2192,2192
2002674000,704,704
2002678000,72,72
2002686000,2336,2336
2002687000,1192,1192
